id,auto,gasoline_consumption,price,date,person_name,phone,discount,brand_origin
527,"Tesla Model X, green",null,58076.4,2018-07-24,Nicholas Garner,887.743.2866x548,0,USA
528,"Hyundai Avante, green",5.5,32972.1,2021-09-04,Kevin Holt,669.027.1236,0,South Korea
529,"Lada Samara, yellow",7.8,14335.44,2022-10-03,Patrick Rice,(556)584-3247,0,Russia
530,"BMW F80, pink",8.3,20838.600000000002,2015-11-11,Marvin Silva,(730)380-9341x364,0,Germany
531,"Lada Samara, red",7.8,24370.149999999998,2017-03-08,Sandra Davis,292.114.9102x4583,2,Russia
532,"Lada Kalina, purple",6.7,11933,2017-10-27,Linda Nelson,001-396-500-4283x878,0,Russia
533,"Audi RS3, green",7.5,19187.100000000002,2020-07-26,Elizabeth Flores,001-808-251-4000x28292,0,Germany
534,"BMW F80, purple",8.3,43258.950000000004,2022-11-19,Leslie Carlson,(685)971-3346x5820,0,Germany
535,"Tesla Model S, orange",null,54814.200000000004,2022-12-04,Jill Hooper,001-497-517-8339x728,0,USA
536,"Lada Vesta, blue",7.3,10300.5,2015-08-31,John Ortiz,035-468-1560,0,Russia
537,"BMW M3, blue",9,45151.2,2018-01-26,Wendy Rivera,(016)321-1173x771,0,Germany
538,"Tesla Model Y, yellow",null,69226.31999999999,2018-01-31,Stephanie Gutierrez,(261)731-5263x7172,0,USA
539,"Hyundai Avante, pink",5.5,18324.6,2017-03-15,Timothy Carlson,001-003-850-8031x765,0,South Korea
540,"Hyundai Elantra, orange",5,32013,2017-12-08,Maria Ellis,4619160245,0,South Korea
541,"Audi S3, green",6.9,33667.2,2018-06-25,Matthew Alexander,029-891-2732,0,Germany
542,"Kia K5, pink",4.9,15986.1,2019-11-15,Larry White,102-710-5353x04939,0,South Korea
543,"Lada Vesta, pink",7.3,10638,2018-01-08,April Morrow,001-530-933-9526x395,0,Russia
544,"Audi S3, purple",6.9,32247.6,2018-02-10,Cassandra Good,(638)448-3389,0,Germany
545,"Tesla Model 3, green",null,55353.9,2022-06-23,Mary Bailey,001-617-540-4384x199,0,USA
546,"BMW F80, green",8.3,55291.6,2019-03-21,Sean Wyatt,6188354037,0,Germany
547,"Kia Rio, red",3.1,27333.179999999997,2018-11-05,Jessica Price,938-354-6977,2,South Korea
548,"Lada Samara, blue",7.8,18035.75,2016-04-19,Nathan Faulkner,069-864-6549,0,Russia
549,"Audi S3, red",6.9,32917.625,2019-03-17,Megan Williams,(645)324-6583,0,Germany
550,"Lada Vesta, red",7.3,17895.625,2016-01-26,Brittany Kim,(760)829-4357x87409,0,Russia
551,"Tesla Model Y, grey",null,52570.350000000006,2021-02-22,Joy Miller,640-290-4274x1088,0,USA
552,"Lada Samara, purple",7.8,9971.1,2020-08-24,Barbara Day,161-617-1835x01370,0,Russia
553,"Audi S3, purple",6.9,29339.100000000002,2021-01-06,Olivia Dixon,001-568-521-9094x37065,0,Germany
554,"Lada Vesta, grey",7.3,18771.480000000003,2021-06-10,Angela Davis,005.182.4626,10,Russia
555,"Tesla Model 3, red",null,67864.875,2019-11-23,Daniel Norton,001-214-077-2858,0,USA
556,"Tesla Model S, orange",null,48662,2017-04-20,Jessica Fischer,001-223-419-3182x005,0,USA
557,"Audi S3, purple",6.9,25358.4,2015-01-31,Deborah Nelson,334-831-7034,0,Germany
558,"BMW F80, orange",8.3,38539,2017-07-26,James Lutz,988-543-1282x24412,0,Germany
559,"Porsche 911, yellow",12,79493.51999999999,2018-05-02,Shane Hawkins,472-372-0131,0,null
560,"Hyundai Sonata, orange",6,43637.1,2019-11-04,Cody Greer,138.390.5523x302,0,South Korea
561,"BMW F80, blue",8.3,41907.35,2016-02-26,Shawn Johnson,731-751-9139,0,Germany
562,"Audi S3, green",6.9,23563.8,2020-03-14,Christina Miller,001-434-303-2478x5207,0,Germany
563,"Audi RS3, purple",7.5,21595.5,2020-09-26,Sherry Kennedy,207-875-7310x97585,0,Germany
564,"Tesla Model 3, pink",null,20488.649999999998,2016-03-31,Breanna Wallace,+1-172-367-3046x9273,0,USA
565,"Tesla Model S, orange",null,43267.655,2016-10-03,Mary Willis,052-704-0436x6307,5,USA
566,"Lada Samara, grey",7.8,18265.92,2017-02-15,Kristin Mcdonald,(485)318-2496x32237,4,Russia
567,"Porsche 911, yellow",12,75181.36499999999,2021-06-24,Pamela Glass,(817)298-1518x194,0,null
568,"Lada Vesta, yellow",7.3,22175.8686,2018-04-01,Ronald Brown,001-248-612-4753,7,Russia
569,"Lada Kalina, green",6.7,23755.2,2018-06-06,Shannon Clements,830.243.5066x828,0,Russia
570,"Audi S3, purple",6.9,21833.7,2022-02-28,Yolanda Wilson,6029478943,0,Germany
571,"BMW M3, green",9,34520.598000000005,2020-04-07,Joshua Robinson,(898)440-8427,2,Germany
572,"Porsche 911, grey",12,44602.488,2015-10-14,Sabrina Heath,001-422-406-8886,16,null
573,"Lada Samara, red",7.8,13895.4375,2021-07-27,Michelle Richardson,(894)973-5517x1993,0,Russia
574,"BMW M3, blue",9,43171,2017-05-01,Rhonda Simmons,+1-807-275-6595x3328,0,Germany
575,"BMW F80, orange",8.3,40014.9,2015-04-12,Kathleen Duncan,823-553-5204x6715,0,Germany
576,"Tesla Model 3, grey",null,33344.892,2022-12-10,Charles Scott,001-208-189-2358x5419,16,USA
577,"Kia Rio, grey",3.1,29334.9,2022-06-17,Jennifer Hess,001-432-935-9793x2255,0,South Korea
578,"Kia K5, purple",4.9,13887.9,2020-11-11,Mrs. Andrea King DVM,408.067.9061x106,0,South Korea
579,"Hyundai Elantra, blue",5,31766.1,2016-09-04,Eddie Rice,328-061-1712,0,South Korea
580,"Audi RS3, blue",7.5,20659.716,2021-06-14,Joshua Hernandez,081.921.1542x6871,13,Germany
581,"Tesla Model S, purple",null,40386.15,2022-12-30,Shannon Martinez,448.488.8677x5083,0,USA
582,"Tesla Model 3, purple",null,53495,2019-08-03,Morgan Allen,+1-218-152-6899x254,0,USA
583,"Lada Kalina, green",6.7,13699.199999999999,2018-04-23,Tina Cummings,294.508.9732x890,0,Russia
584,"Lada Kalina, purple",6.7,12954.6,2015-07-04,David Mccullough,715.683.7476,0,Russia
585,"Hyundai Avante, blue",5.5,33040.8,2015-04-22,Darrell Rodriguez,(449)182-8391,0,South Korea
586,"Audi A3, yellow",5.7,22524.704999999998,2020-04-22,Robert Owen,+1-646-408-2743x96329,0,Germany
587,"Tesla Model X, blue",null,34422.299999999996,2016-02-06,Brittany Donovan,5960674690,0,USA
588,"BMW F80, purple",8.3,39303.6,2021-08-30,Nicole Gomez,+1-864-604-3079x53140,0,Germany
589,"Hyundai Sonata, orange",6,27083.805,2022-05-25,Martin Meza,735.877.9874x744,15,South Korea
590,"Lada Samara, yellow",7.8,20894.35,2017-07-06,Lisa Johnson,596.862.0866,0,Russia
591,"Hyundai Avante, blue",5.5,44682,2018-02-23,Mark Ellis,+1-956-652-2751,0,South Korea
592,"Lada Samara, red",7.8,13252.5,2015-01-01,Joseph Johnson,(029)870-5437x381,0,Russia
593,"BMW F30, yellow",2,51610.965,2022-02-23,Natalie Estrada,478.771.7991,0,Germany
594,"Audi RS3, orange",7.5,26278.8,2018-03-31,Antonio Harvey,+1-943-302-4457x0606,0,Germany
595,"Porsche 911, yellow",12,59152.31999999999,2015-03-30,Robin Wallace,5243117794,0,null
596,"BMW F80, grey",8.3,48280.518000000004,2019-07-21,Matthew Dunlap,001-161-117-9932x8739,1,Germany
597,"Tesla Model S, blue",null,55250.4,2018-04-18,Susan Phelps,001-769-988-0037x303,0,USA
598,"Kia Rio, yellow",3.1,21981.1,2017-09-19,Lori Ware,684.093.1782x277,0,South Korea
599,"Hyundai Elantra, orange",5,35841.75,2022-02-08,John Kim,005-581-9409,0,South Korea
600,"Porsche 911, red",12,73170.5625,2022-08-24,Samantha Silva,299.673.6245x22006,0,null
601,"Kia Rio, red",3.1,24129,2022-07-25,John Juarez,609-815-7573,0,South Korea
602,"Tesla Model X, purple",null,52137.75,2022-03-20,Steven Cochran,001-227-629-7886x7511,0,USA
603,"Tesla Model S, yellow",null,66342.465,2021-11-11,Mary Ryan,+1-323-790-8935x523,0,USA
604,"Lada Kalina, blue",6.7,11270.7,2021-03-11,Taylor Rios,+1-523-639-3337x623,0,Russia
605,"Lada Vesta, purple",7.3,16308,2015-11-28,Cody Baldwin,264.912.9079,0,Russia
606,"Lada Samara, orange",7.8,17629.5,2022-09-29,Calvin Blake,141-734-5074,0,Russia
607,"Tesla Model S, red",null,70568.875,2019-05-23,Maria Villanueva,(019)710-3769,0,USA
608,"Lada Samara, yellow",7.8,25924.795,2019-09-21,Janice Thompson,001-026-331-6585,0,Russia
609,"Tesla Model X, orange",null,49164.700000000004,2019-07-15,Brenda Mitchell,865-420-5494x30657,0,USA
610,"Audi A3, grey",5.7,31296.300000000003,2021-11-07,Steven Forbes,(101)539-9473x14440,0,Germany
611,"Lada Samara, purple",7.8,14693.4,2020-04-02,Samuel Alvarez,989-877-6311x84611,0,Russia
612,"Lada Vesta, purple",7.3,17056.3,2016-05-26,Thomas Hansen,4328256556,0,Russia
613,"Lada Vesta, grey",7.3,14294.7,2021-04-11,Melissa Mcdaniel,682-729-7277x27166,0,Russia
614,"Hyundai Elantra, pink",5,19459.44,2020-03-26,Jesse Carlson,439.633.2334x58861,0,South Korea
615,"Kia Rio, grey",3.1,21629.016000000003,2015-06-14,Justin Case Jr.,848.701.6164,8,South Korea
616,"Hyundai Sonata, yellow",6,45425.45999999999,2018-09-18,Michael Krueger,725.073.5104x8367,0,South Korea
617,"Lada Vesta, blue",7.3,25916.8,2019-10-06,Dr. Christine Knapp,001-831-967-5171x6678,0,Russia
618,"Lada Vesta, grey",7.3,12319.65,2021-12-31,Dwayne Wang,8539797409,0,Russia
619,"Porsche 911, pink",12,36264.78,2015-10-07,Timothy Parker,658-127-2895x1590,0,null
620,"Audi RS3, pink",7.5,17319.9888,2018-04-12,Edward Booker,968-095-8708x45974,6,Germany
621,"Tesla Model S, red",null,51093,2021-11-02,Angela Clark,405.444.9215,0,USA
622,"Hyundai Elantra, pink",5,18365.94,2020-06-28,Gary Brown,+1-135-278-7134x732,0,South Korea
623,"Hyundai Elantra, yellow",5,45020.43,2021-08-24,Luis Patel,(287)606-8577,0,South Korea
624,"Porsche 911, green",12,72691.2,2018-07-01,Terry Fry,984.668.7124,0,null
625,"Tesla Model X, red",null,65152.1875,2016-09-01,Thomas Brock,841.555.6091x7752,0,USA
626,"Lada Kalina, red",6.7,20905.875,2020-12-09,Amber Barnett,001-347-464-7310x33842,0,Russia
627,"Hyundai Sonata, pink",6,18774.72,2020-12-06,Cody Lloyd,512.559.6476,0,South Korea
628,"Hyundai Elantra, grey",5,32920.65,2021-07-17,Todd Palmer,(720)767-2286x753,0,South Korea
629,"Audi RS3, pink",7.5,17284.02,2019-01-05,Patty Peterson,453.181.2155x03656,0,Germany
630,"Porsche 911, grey",12,68387.55,2022-01-26,Katherine Robinson,+1-936-891-1910x145,0,null
631,"Audi A3, yellow",5.7,28848.554999999997,2015-10-18,Megan Anderson,295.963.0833x456,0,Germany
632,"Audi A3, grey",5.7,21628.649999999998,2016-10-13,Sandra Wheeler,001-908-435-7509x239,0,Germany
633,"Audi S3, grey",6.9,18162.9,2015-09-25,Theresa Oliver,624.441.4774x241,0,Germany
634,"Kia Rio, blue",3.1,15155.349999999999,2016-10-06,Elizabeth Diaz,+1-454-056-0536x1655,0,South Korea
635,"BMW F80, green",8.3,38545,2017-03-05,Wendy Allen,077.546.9129,0,Germany
636,"Audi RS3, grey",7.5,24208.85,2016-05-05,Andrew Henry,915.321.9397x253,0,Germany
637,"Audi A3, green",5.7,24489.1,2016-03-02,Louis Bender,(849)586-9830x9331,0,Germany
638,"BMW F30, green",2,38399.55,2021-08-05,Eric Daniels,+1-332-993-0278x1068,0,Germany
639,"Tesla Model X, orange",null,45180,2015-12-19,Mrs. Brittney Hunter,269-364-8847,0,USA
640,"Porsche 911, orange",12,52116.3,2020-04-25,Jaclyn Reynolds,402.680.4529x13302,0,null
641,"Tesla Model Y, blue",null,42476.4,2018-03-23,Jasmine Contreras,+1-851-882-7820x7691,0,USA
642,"Audi RS3, grey",7.5,26853,2017-03-09,Deborah Harrison,(487)355-5301x393,0,Germany
643,"Audi A3, green",5.7,20832,2017-06-07,Dustin Rogers,+1-655-503-1566x66319,0,Germany
644,"Hyundai Avante, green",5.5,39822.3,2021-05-06,Ariana Ortega,001-630-791-3408x314,0,South Korea
645,"BMW F80, green",8.3,41784.75,2021-03-15,David Fry,001-538-081-9975x0367,0,Germany
646,"Tesla Model S, yellow",null,47553.765,2021-01-31,David Fields,227-921-6743x13803,0,USA
647,"Kia K5, grey",4.9,24003,2021-10-05,Mark Sullivan,(293)190-1644,0,South Korea
648,"Audi RS3, red",7.5,28423.395000000004,2021-02-22,Elizabeth Tucker,001-596-272-1681x293,12,Germany
649,"BMW F80, orange",8.3,53166,2018-04-14,Crystal Sanders,(075)219-2905x306,0,Germany
650,"Porsche 911, pink",12,34081.560000000005,2015-11-20,Brian Simpson,960.277.8678,0,null
651,"Audi A3, green",5.7,30441.600000000002,2022-12-22,Karen Garcia,001-404-701-0367x770,0,Germany
652,"Tesla Model 3, blue",null,37172.1,2021-05-26,Michael Velazquez,345-345-5968x051,0,USA
653,"Tesla Model X, pink",null,29773.379999999997,2016-12-26,Michael Davis,(233)213-6687x92446,0,USA
654,"Kia Rio, grey",3.1,26308.8,2018-11-18,Joseph Reed,560.398.3456,0,South Korea
655,"Hyundai Avante, pink",5.5,24081.84,2018-12-31,Suzanne Romero,998-617-7780,0,South Korea
656,"Lada Samara, green",7.8,16942.3,2016-07-28,Amy Fisher,3557471614,0,Russia
657,"Audi A3, purple",5.7,23863,2017-07-02,Todd Gonzalez,+1-684-264-3269x9631,0,Germany
658,"Audi S3, purple",6.9,26506.899999999998,2016-05-07,Wendy Campbell,341-839-4010x324,0,Germany
659,"Tesla Model X, pink",null,30183.93,2022-08-03,Caleb George,(429)200-3919x743,0,USA
660,"Lada Vesta, blue",7.3,16061.85,2022-08-24,Gabrielle Santana,(319)138-0732x90550,0,Russia
661,"Tesla Model Y, orange",null,34058.700000000004,2020-01-28,Adrienne Campbell,+1-990-676-9792x54152,0,USA
662,"Lada Vesta, yellow",7.3,19970.325,2020-03-01,Christopher Orozco,456.507.3703x97277,0,Russia
663,"BMW F80, red",8.3,50418.75,2017-11-21,Thomas Ball,448-016-1881x39243,0,Germany
664,"Audi S3, yellow",6.9,20852.145,2015-09-25,Jessica Smith,480.500.0280x5588,0,Germany
665,"Audi S3, pink",6.9,11264.4,2020-08-14,Nathan Meyer,611.101.6729x511,0,Germany
666,"Tesla Model Y, purple",null,45383.88,2018-02-13,Mr. Connor Thompson,+1-263-648-6239x95102,15,USA
667,"Tesla Model X, yellow",null,39006.045,2020-09-24,Stephen Sloan,937.160.6050,0,USA
668,"Tesla Model 3, pink",null,28375.92,2018-09-08,Sarah Blair,572.217.7060x630,0,USA
669,"Tesla Model Y, red",null,46301.25,2017-07-13,Timothy Kent,471-201-2643x36581,0,USA
670,"BMW F80, orange",8.3,37554,2017-11-02,Lindsey Kelley,545-460-9076x49032,0,Germany
671,"Tesla Model X, purple",null,45081.9,2015-10-12,Ashley Johnson,001-419-139-5896x76826,0,USA
672,"Lada Vesta, purple",7.3,12908.7,2015-11-04,Robert Hopkins,5719788818,0,Russia
673,"BMW F80, red",8.3,47145,2021-03-02,Samuel Hardy,264-411-7706,0,Germany
674,"Lada Vesta, red",7.3,18158.625,2020-11-08,Scott Kaiser,2456501847,0,Russia
675,"Kia K5, yellow",4.9,23090.85,2015-08-08,Daniel Wright,(711)157-1765x662,0,South Korea
676,"Lada Vesta, orange",7.3,10582.2,2015-05-26,Larry Freeman,037-520-0609x504,0,Russia
677,"Tesla Model Y, purple",null,41865.549999999996,2016-04-02,Luis Graves,095.400.3832x1691,0,USA
678,"Hyundai Sonata, red",6,38777.625,2020-09-06,Catherine Avila,(933)429-8704,0,South Korea
679,"Audi S3, yellow",6.9,20986.695,2020-12-09,Lisa Osborn,001-366-277-6852x359,0,Germany
680,"Porsche 911, pink",12,40985.2548,2022-02-16,Ruth Esparza,650-663-5928x56124,3,null
681,"Audi RS3, blue",7.5,23636.949999999997,2016-04-24,Darlene Ramirez,906-463-7100,0,Germany
682,"Audi A3, purple",5.7,24540.48,2018-04-06,Keith Lopez,001-982-953-4559x78959,20,Germany
683,"Lada Samara, grey",7.8,20541.15,2021-06-02,Ryan Roberts,001-718-193-6489x3053,0,Russia
684,"Audi A3, yellow",5.7,28915.829999999998,2020-02-03,Zachary Long,(489)903-7691,0,Germany
685,"Tesla Model X, grey",null,40913.65,2016-10-13,Cody Martinez,(795)531-8395,0,USA
686,"Lada Vesta, green",7.3,18139.2,2018-10-20,April Curry,+1-217-204-2448x39099,0,Russia
687,"Tesla Model 3, orange",null,30302.181000000004,2015-06-01,Andrea Jenkins,758.637.3351x944,9,USA
688,"Audi S3, orange",6.9,26732.7,2015-12-24,Victoria Brown,001-847-022-3334x6332,0,Germany
689,"BMW M3, yellow",9,41126.759999999995,2015-08-11,Julia Avila,+1-750-684-0013x59819,0,Germany
690,"Kia Rio, grey",3.1,22985.820000000003,2019-01-17,Samuel Martinez,001-188-439-4395x9900,1,South Korea
691,"Lada Vesta, pink",7.3,13731.12,2018-10-21,Glen Kim,3270221367,0,Russia
692,"Hyundai Elantra, yellow",5,40057.605,2022-08-08,Kelly Dougherty,162-154-5030,0,South Korea
693,"BMW F30, red",2,48944.621250000004,2022-05-01,William Thompson,814-947-9626x55890,7,Germany
694,"Kia K5, green",4.9,14671.800000000001,2020-12-01,Angel Walker MD,+1-986-826-6951x75737,0,South Korea
695,"BMW M3, green",9,34632,2020-07-27,Donna Jefferson,327.625.7043x73024,0,Germany
696,"Tesla Model S, purple",null,32268.600000000002,2015-03-10,Anne Stevenson,575.371.3315x7159,0,USA
697,"Kia Rio, blue",3.1,16946.100000000002,2015-12-13,William Hunt,+1-846-054-0879x2284,0,South Korea
698,"Tesla Model 3, grey",null,42509,2017-02-26,Samantha Kelly,230-053-8104x597,0,USA
699,"Audi A3, green",5.7,25116.3,2015-09-04,Carlos Conway,+1-196-851-2591x15204,0,Germany
700,"BMW M3, green",9,47617.700000000004,2019-11-21,Kristy Davis,+1-090-093-5158x17704,0,Germany
701,"BMW F30, orange",2,36654.72,2018-04-12,Becky Fox,(027)172-6371,20,Germany
702,"Hyundai Sonata, red",6,45157.5,2017-05-21,Melinda Maldonado,+1-002-302-6805x893,0,South Korea
703,"Porsche 911, red",12,76334.875,2016-01-06,David Kelley,001-045-178-2118x68729,0,null
704,"Tesla Model 3, yellow",null,38560.385500000004,2017-12-01,Diana Jones,2955565992,9,USA
705,"Tesla Model Y, yellow",null,72418.26,2018-01-30,Jeff Pineda,001-429-232-6068x9655,0,USA
706,"BMW F30, pink",2,19707.84,2020-05-10,Brittany Smith,656-787-2754,0,Germany
707,"BMW F30, orange",2,43828.05,2022-10-08,Ronald Mendez,654.899.0533x6251,0,Germany
708,"Audi RS3, green",7.5,21993.3,2015-05-28,Monica Buchanan,+1-303-917-4625x452,0,Germany
709,"Lada Kalina, grey",6.7,11012.76,2020-02-08,Sandra Mejia,001-566-449-8490x4192,12,Russia
710,"Kia K5, orange",4.9,25763.712,2019-01-12,Sarah Jones,1806913384,4,South Korea
711,"Audi RS3, yellow",7.5,32438.809,2019-01-15,Mark Lyons,001-071-932-9889x203,11,Germany
712,"Tesla Model X, pink",null,20081.376,2021-08-11,Rachel Scott,+1-012-908-4220,20,USA
713,"Tesla Model 3, grey",null,47100,2017-12-25,William Fleming,001-092-372-9830x382,0,USA
714,"Tesla Model S, yellow",null,65539.30500000001,2019-08-20,Mary Hawkins,(341)121-6163,0,USA
715,"BMW F80, purple",8.3,35660.700000000004,2015-05-26,Meagan Dean,(776)709-7273,0,Germany
716,"Tesla Model Y, grey",null,50614.872,2021-07-09,Jessica Nichols,6451677430,12,USA
717,"Hyundai Sonata, grey",6,38297.700000000004,2021-11-09,Adam Ryan,5575326410,0,South Korea
718,"Audi A3, yellow",5.7,34260.3975,2021-03-07,Ronald Baxter,882-608-0264,0,Germany
719,"Tesla Model S, orange",null,26147.240999999998,2020-09-04,Christina Gray,001-616-719-7783x22092,17,USA
720,"Lada Kalina, pink",6.7,11345.1,2019-08-02,Diane Johnson,029-442-0889,0,Russia
721,"Audi A3, yellow",5.7,23121.899999999998,2017-03-11,Rhonda Wilson,639.046.1103x3755,0,Germany
722,"Tesla Model 3, orange",null,39621,2017-09-07,Katie Anderson,699.866.5770,0,USA
723,"Lada Samara, grey",7.8,11601,2020-04-27,Dominic Taylor,001-256-812-5155x0529,0,Russia
724,"Tesla Model Y, pink",null,31842.5184,2018-11-02,Karen Pollard,001-307-459-1979x089,17,USA
725,"BMW F30, orange",2,32907.6,2015-04-05,Susan Martinez,(332)252-7726,0,Germany
726,"Kia K5, yellow",4.9,16528.26,2017-10-28,Wesley Cox,448.483.5735x72420,16,South Korea
727,"Hyundai Elantra, pink",5,19678.2,2017-08-06,Susan Garner DVM,+1-895-073-9908x0475,0,South Korea
728,"BMW F80, green",8.3,51328.799999999996,2018-06-16,Mrs. Kristin Soto,233.278.0571,0,Germany
729,"Porsche 911, grey",12,65782.75,2016-02-19,Steven Owens,551-662-6377,0,null
730,"Kia Rio, green",3.1,17072.45,2016-12-23,Jennifer Evans,+1-577-908-7301,0,South Korea
731,"Hyundai Sonata, green",6,27048.600000000002,2015-09-02,Scott Brown,527.141.4616,0,South Korea
732,"Kia K5, grey",4.9,25920.75,2016-04-20,Richard Daniels,230-309-9627x725,0,South Korea
733,"BMW F80, red",8.3,39866.625,2020-12-08,Nicole Carey,2051889469,0,Germany
734,"Lada Samara, grey",7.8,15301.650000000001,2022-05-12,Karen Weber,319-632-6002,0,Russia
735,"Tesla Model X, purple",null,41854,2017-03-23,Phillip Simmons,001-206-421-1735x02993,0,USA
736,"BMW F80, red",8.3,55987.3125,2021-06-09,Charles Young,8849118046,0,Germany
737,"Audi A3, grey",5.7,26865.300000000003,2021-03-12,Karla Rodriguez,001-645-358-4042x121,0,Germany
738,"Hyundai Elantra, purple",5,31413.649999999998,2016-12-10,Belinda Ayala,(888)477-8821x93402,0,South Korea
739,"BMW F30, orange",2,33518.700000000004,2020-03-12,Sandra Davis DDS,(589)055-0344x22905,0,Germany
740,"Tesla Model S, orange",null,52183.5,2016-11-08,Michael Mcguire,(460)016-4283,0,USA
741,"Tesla Model Y, pink",null,29668.59,2022-01-28,George Marshall,651-518-0737x9624,0,USA
742,"Tesla Model 3, orange",null,52972.5,2021-05-28,Alejandro Stevens,6476542469,0,USA
743,"Hyundai Sonata, yellow",6,44611.0875,2022-08-07,Joyce Beard,135-816-6588,0,South Korea
744,"Tesla Model Y, green",null,55116.600000000006,2021-01-27,Gail Campos,001-632-773-6298x790,0,USA
745,"BMW F80, green",8.3,39420.9,2015-01-31,Anita Stevens,001-925-986-3870,0,Germany
746,"Tesla Model S, grey",null,31646.7,2020-09-16,Jessica Singleton,603.174.0298,0,USA
747,"Lada Vesta, pink",7.3,11493.6003,2022-10-27,William Chambers,(302)035-3049x743,7,Russia
748,"Kia K5, green",4.9,22256,2017-03-25,Jonathan Jackson,001-921-464-2628x421,0,South Korea
749,"Lada Vesta, orange",7.3,13373.85,2021-11-25,John Sanchez,582-586-7956,0,Russia
750,"Audi RS3, green",7.5,26626.600000000002,2019-10-11,Amanda Parker,866.621.1750,0,Germany
751,"Tesla Model Y, red",null,51711.1875,2021-05-18,Jessica Williams,956-760-7204x250,0,USA
752,"Lada Kalina, green",6.7,17298.55,2016-12-08,Brianna Henderson,001-203-050-0137x448,0,Russia
753,"Tesla Model X, grey",null,35766,2020-09-04,Tiffany Santiago,(700)996-6905x89633,0,USA
754,"BMW F80, green",8.3,49966.799999999996,2018-08-10,Douglas Mcguire,5586269700,0,Germany
755,"Tesla Model 3, pink",null,31083.6,2017-06-06,Mr. Joseph Powers,575-625-4959x144,0,USA
756,"Kia Rio, purple",3.1,34451.3,2019-08-21,Nicholas Wyatt,+1-940-881-0824,0,South Korea
757,"BMW M3, grey",9,41039.25,2021-03-29,Dennis Mendoza,472.089.0326x76375,0,Germany
758,"Hyundai Sonata, grey",6,28748.7,2015-06-17,Mark Frye,(630)253-6683x72224,0,South Korea
759,"Tesla Model 3, pink",null,24807.510000000002,2021-07-26,Kimberly Chambers,142.363.6509x0354,0,USA
760,"Hyundai Avante, green",5.5,31160,2017-05-04,Jose Martinez,(318)783-8483,0,South Korea
761,"BMW M3, blue",9,53468.4,2018-09-07,Jack Miller,5435314658,0,Germany
762,"Hyundai Elantra, red",5,44562.082500000004,2019-09-13,Alexandra Hartman,3110833416,14,South Korea
763,"BMW F80, green",8.3,48215.700000000004,2019-09-04,Johnathan Fernandez,+1-667-155-6983x54702,0,Germany
764,"Audi S3, green",6.9,25545.600000000002,2015-09-28,Jason Robertson,8335319246,0,Germany
765,"Audi S3, green",6.9,29376.100000000002,2019-07-24,William Wong,9531526164,0,Germany
766,"Hyundai Sonata, grey",6,33534,2015-06-20,Maria Miller,+1-276-990-5780x357,0,South Korea
767,"Tesla Model 3, purple",null,36002.700000000004,2020-06-23,Angel Raymond,+1-049-470-0102x09044,0,USA
768,"Porsche 911, orange",12,78031.2,2019-04-10,Nicole Floyd,+1-175-623-2150x82440,0,null
769,"Tesla Model 3, grey",null,36226.8,2020-03-12,Anna Mack,529-243-1073x31671,0,USA
770,"Audi S3, purple",6.9,27614,2017-12-07,Teresa Burke,085-365-8232,0,Germany
771,"Porsche 911, orange",12,61757.1,2015-04-15,Paula Williams,115.396.2818x5301,0,null
772,"Tesla Model Y, grey",null,33679.8,2020-03-07,Tony Cruz,001-997-552-5269x4080,0,USA
773,"Tesla Model X, green",null,37558.5,2022-02-20,Kathleen Shaw,042-497-4709,0,USA
774,"Hyundai Elantra, purple",5,35313.6,2022-02-07,Jason Cowan,(469)705-1029x2125,0,South Korea
775,"Hyundai Avante, grey",5.5,35928,2017-10-17,Courtney Warner,(637)095-9255,0,South Korea
776,"Audi A3, yellow",5.7,22465.71,2015-11-05,Thomas Hardy,+1-755-108-3487x1108,0,Germany
777,"Kia K5, pink",4.9,9846.75,2016-05-02,David Tucker,983-493-2381,0,South Korea
778,"Hyundai Elantra, green",5,41616,2018-11-21,David Thomas,142-294-8505,0,South Korea
779,"Lada Kalina, grey",6.7,15721,2017-01-03,Christina Moore,(314)869-2882,0,Russia
780,"Hyundai Elantra, grey",5,49289.5,2019-05-23,Joseph Phillips,1800171043,0,South Korea
781,"Kia K5, grey",4.9,26961.9,2021-06-20,Erica Oneal MD,+1-010-627-3200x88229,0,South Korea
782,"Tesla Model X, green",null,39192.3,2022-04-16,Elizabeth Gutierrez,1461672676,0,USA
783,"Lada Vesta, yellow",7.3,19173.312899999997,2022-02-25,Terry Snyder,(440)754-1513,16,Russia
784,"Lada Samara, purple",7.8,12241,2017-12-09,Andrew Torres,279-283-0389x7782,0,Russia
785,"Lada Samara, green",7.8,15509.699999999999,2016-08-06,Michelle Jordan,(739)117-5249x38653,0,Russia
786,"Audi S3, blue",6.9,33133.1,2019-03-24,Kenneth Mitchell,+1-954-288-2276x4393,0,Germany
787,"BMW M3, yellow",9,45494.9775,2021-12-19,Meredith Jones,001-123-562-3408x554,0,Germany
788,"BMW M3, purple",9,32601.912,2021-11-18,Sarah Mayer,(756)509-8517x146,14,Germany
789,"Lada Kalina, green",6.7,18981.3,2019-07-31,Kelly Rodriguez,751.475.5244,0,Russia
790,"Lada Kalina, red",6.7,15960,2021-12-10,Lori Ramsey,640-365-5956,0,Russia
